时间(h),节点,温度(°C),湿度(%RH),光照(lux),烟雾(ADC),电池(mV)
11.03,1,25.4,46.0,427,328,3761
11.05,1,25.4,46.6,442,327,3761
11.07,1,25.2,48.9,431,335,3760
11.08,1,25.2,44.5,447,340,3760
11.10,1,25.4,44.8,445,322,3760
11.12,1,25.5,44.8,455,304,3760
11.13,1,25.1,46.0,449,328,3760
11.15,1,25.3,44.3,448,313,3759
11.17,1,25.4,44.0,437,327,3759
11.18,1,25.5,47.5,454,304,3759
11.20,1,25.3,46.2,453,317,3759
11.22,1,25.4,46.2,455,304,3758
11.23,1,25.4,45.6,451,308,3758
11.25,1,25.4,44.5,456,334,3758
11.27,1,25.5,46.0,464,313,3758
11.28,1,25.5,46.2,463,337,3758
11.30,1,25.6,45.4,452,305,3757
11.32,1,25.3,46.9,471,324,3757
11.33,1,25.2,45.0,460,297,3757
11.35,1,25.7,46.4,467,302,3757
11.37,1,25.5,46.6,485,326,3757
11.38,1,25.2,44.3,462,330,3756
11.40,1,25.7,47.5,473,329,3756
11.42,1,25.3,46.0,473,343,3756
11.43,1,25.3,45.8,462,306,3756
11.45,1,25.5,46.7,469,346,3756
11.47,1,25.7,46.1,477,325,3755
11.48,1,25.2,46.6,471,320,3755
11.50,1,25.7,43.3,474,337,3755
11.52,1,25.5,46.5,472,288,3755
11.53,1,25.3,44.9,477,318,3754
11.55,1,25.4,43.9,468,284,3754
11.57,1,25.7,46.0,473,332,3754
11.58,1,25.4,46.3,483,340,3754
11.60,1,25.3,45.9,496,323,3753
11.62,1,25.4,46.4,478,321,3753
11.63,1,25.4,44.7,471,313,3753
11.65,1,25.4,44.9,493,329,3753
11.67,1,25.5,43.4,494,334,3753
11.68,1,25.3,42.7,480,328,3752
11.70,1,25.6,46.2,486,322,3752
11.72,1,25.5,46.9,486,310,3752
11.73,1,25.7,44.9,482,311,3752
11.75,1,25.3,46.2,497,332,3752
11.77,1,25.4,46.1,480,298,3751
11.78,1,25.7,43.6,484,322,3751
11.80,1,25.7,44.3,484,320,3751
11.82,1,25.6,47.3,691,340,3751
11.83,1,25.5,43.8,500,317,3751
11.85,1,25.8,46.1,486,321,3750
11.87,1,25.6,44.3,495,319,3750
11.88,1,25.7,43.8,496,303,3750
11.90,1,25.5,45.5,491,294,3750
11.92,1,25.5,45.7,503,331,3750
11.93,1,25.7,45.9,502,324,3749
11.95,1,25.7,46.3,510,300,3749
11.97,1,25.6,46.2,501,330,3749
11.98,1,25.6,47.0,517,323,3749
12.00,1,25.7,44.9,508,319,3748
12.02,1,25.7,46.6,510,304,3748
12.03,1,25.5,45.5,511,323,3748
12.05,1,25.4,43.1,502,299,3748
12.07,1,25.9,44.6,509,318,3748
12.08,1,25.7,46.0,520,324,3747
12.10,1,25.7,43.4,515,306,3747
12.12,1,25.5,43.7,515,307,3747
12.13,1,25.5,44.6,516,331,3747
12.15,1,25.8,44.2,523,309,3747
12.17,1,25.8,45.0,521,298,3746
12.18,1,25.5,44.8,511,326,3746
12.20,1,25.7,43.2,517,323,3746
12.22,1,25.6,45.3,520,299,3746
12.23,1,25.6,44.9,522,310,3746
12.25,1,25.5,42.9,524,294,3745
12.27,1,25.7,46.5,529,292,3745
12.28,1,25.8,45.1,524,345,3745
12.30,1,25.7,43.4,538,337,3745
12.32,1,25.6,44.9,520,323,3745
12.33,1,25.8,44.5,532,313,3744
12.35,1,25.6,44.0,525,287,3744
12.37,1,25.6,43.9,522,303,3744
12.38,1,26.1,45.4,532,318,3744
12.40,1,25.9,44.2,527,310,3743
12.42,1,25.8,42.8,518,308,3743
12.43,1,25.9,44.8,530,331,3743
12.45,1,25.8,43.3,519,313,3743
12.47,1,25.9,41.7,529,332,3743
12.48,1,25.8,42.7,521,333,3742
12.50,1,25.7,44.7,517,343,3742
12.52,1,25.8,46.6,527,285,3742
12.53,1,25.7,47.2,535,292,3742
12.55,1,25.7,44.2,515,333,3742
12.57,1,25.8,44.8,541,344,3741
12.58,1,25.7,43.8,514,334,3741
12.60,1,25.7,44.8,519,327,3741
12.62,1,25.7,45.4,551,330,3741
12.63,1,25.5,45.1,537,310,3741
12.65,1,25.9,46.4,535,338,3740
12.67,1,25.9,44.5,556,326,3740
12.68,1,25.7,43.5,538,307,3740
12.70,1,25.7,43.8,541,327,3740
12.72,1,25.8,46.6,540,304,3740
12.73,1,25.7,43.9,537,283,3739
12.75,1,25.6,45.9,536,302,3739
12.77,1,25.8,44.5,525,325,3739
12.78,1,26.0,44.0,541,325,3739
12.80,1,25.8,43.6,548,319,3738
12.82,1,25.6,43.9,557,295,3738
12.83,1,25.9,42.8,550,299,3738
12.85,1,25.8,42.9,541,320,3738
12.87,1,26.0,43.6,534,315,3738
12.88,1,26.0,43.4,553,334,3737
12.90,1,26.0,44.9,544,303,3737
12.92,1,26.0,49.1,752,304,3737
12.93,1,25.6,43.2,550,342,3737
12.95,1,25.8,43.5,537,325,3737
12.97,1,25.9,44.5,543,297,3736
12.98,1,26.1,45.7,545,340,3736
13.00,1,25.6,43.6,551,306,3736
13.02,1,25.8,47.0,553,314,3736
13.03,1,26.0,42.8,551,307,3736
13.05,1,25.7,43.3,542,331,3735
13.07,1,25.7,45.1,534,330,3735
13.08,1,26.0,43.8,541,327,3735
13.10,1,25.8,42.4,542,326,3735
13.12,1,25.7,43.4,556,316,3735
13.13,1,25.7,44.6,559,307,3734
13.15,1,25.8,43.4,557,336,3734
13.17,1,25.8,43.9,553,304,3734
13.18,1,25.7,45.2,556,327,3734
13.20,1,26.1,43.6,552,347,3733
13.22,1,25.8,43.6,748,322,3733
13.23,1,25.6,45.3,558,317,3733
13.25,1,25.9,45.2,543,313,3733
13.27,1,26.0,45.5,560,320,3733
13.28,1,26.0,44.9,572,316,3732
13.30,1,25.7,43.7,573,306,3732
13.32,1,26.1,44.9,559,306,3732
13.33,1,26.0,44.2,571,283,3732
13.35,1,26.0,44.5,557,342,3732
13.37,1,26.0,43.7,548,281,3731
13.38,1,26.0,43.6,563,312,3731
13.40,1,25.9,43.8,549,329,3731
13.42,1,25.9,43.2,563,314,3731
13.43,1,25.8,44.2,553,346,3731
13.45,1,26.1,44.1,566,337,3730
13.47,1,25.9,44.3,558,298,3730
13.48,1,26.0,43.3,568,313,3730
13.50,1,26.2,44.5,551,317,3730
13.52,1,26.0,43.3,568,338,3730
13.53,1,25.8,43.8,567,363,3729
13.55,1,25.9,45.4,566,316,3729
13.57,1,26.1,44.9,558,332,3729
13.58,1,25.5,42.9,554,322,3729
13.60,1,26.0,43.8,561,310,3728
13.62,1,26.2,44.4,544,314,3728
13.63,1,26.1,44.5,559,326,3728
13.65,1,26.0,44.3,558,320,3728
13.67,1,25.8,45.5,559,317,3728
13.68,1,25.9,44.0,555,309,3727
13.70,1,25.7,42.7,569,309,3727
13.72,1,25.8,44.1,544,310,3727
13.73,1,26.1,42.9,574,289,3727
13.75,1,26.2,43.9,556,303,3727
13.77,1,25.9,46.1,560,332,3726
13.78,1,25.9,45.8,560,319,3726
13.80,1,26.0,43.2,572,320,3726
13.82,1,26.0,43.6,569,329,3726
13.83,1,26.0,44.5,556,312,3726
13.85,1,25.8,44.5,574,295,3725
13.87,1,26.1,43.6,571,326,3725
13.88,1,25.9,43.7,563,326,3725
13.90,1,26.0,44.4,549,308,3725
13.92,1,25.9,43.7,555,324,3725
13.93,1,26.0,42.6,576,314,3724
13.95,1,25.9,43.9,574,332,3724
13.97,1,25.8,46.0,568,307,3724
13.98,1,26.0,43.3,580,316,3724
14.00,1,26.1,45.3,567,342,3723
14.02,1,25.9,42.8,563,330,3723
14.03,1,25.9,45.2,758,324,3723
14.05,1,26.1,44.4,566,308,3723
14.07,1,26.0,44.1,563,339,3723
14.08,1,25.9,46.0,559,369,3722
14.10,1,25.9,44.1,555,362,3722
14.12,1,25.9,43.7,558,429,3722
14.13,1,25.9,44.7,550,486,3722
14.15,1,26.0,42.7,565,560,3722
14.17,1,26.0,45.6,566,683,3721
14.18,1,25.7,45.6,562,821,3721
14.20,1,26.0,43.6,562,1039,3721
14.22,1,25.6,42.8,554,1204,3721
14.23,1,25.8,46.6,565,1395,3721
14.25,1,25.8,44.7,566,1555,3720
14.27,1,25.7,43.1,553,1683,3720
14.28,1,25.7,43.3,560,1709,3720
14.30,1,26.1,44.8,558,1707,3720
14.32,1,25.9,45.4,553,1573,3720
14.33,1,25.9,42.1,555,1444,3719
14.35,1,26.1,44.4,567,1233,3719
14.37,1,25.8,44.5,555,1002,3719
14.38,1,26.1,42.4,573,829,3719
14.40,1,25.9,45.2,555,684,3718
14.42,1,26.0,45.4,561,564,3718
14.43,1,25.9,43.0,556,486,3718
14.45,1,26.0,43.1,552,427,3718
14.47,1,25.9,43.1,564,367,3718
14.48,1,26.2,43.8,571,346,3717
14.50,1,26.0,45.0,531,292,3717
14.52,1,26.0,44.1,552,368,3717
14.53,1,25.6,42.9,553,318,3716
14.55,1,26.0,43.5,544,314,3716
14.57,1,26.0,43.7,555,350,3716
14.58,1,26.0,45.0,547,322,3716
14.60,1,26.0,45.3,563,322,3716
14.62,1,25.7,44.4,561,329,3715
14.63,1,26.0,45.6,552,319,3715
14.65,1,25.9,42.8,559,345,3715
14.67,1,25.8,45.9,547,347,3715
14.68,1,26.0,44.5,551,326,3715
14.70,1,26.0,45.6,541,315,3714
14.72,1,25.7,44.2,550,311,3714
14.73,1,25.7,43.0,564,295,3714
14.75,1,25.9,42.7,548,328,3714
14.77,1,25.6,42.7,558,294,3713
14.78,1,26.0,43.9,547,338,3713
14.80,1,26.0,44.1,546,323,3713
14.82,1,25.8,45.3,553,296,3713
14.83,1,25.8,43.2,541,332,3713
14.85,1,25.7,44.2,544,298,3712
14.87,1,25.8,44.2,548,351,3712
14.88,1,25.8,42.1,549,316,3712
14.90,1,25.9,46.0,549,310,3712
14.92,1,25.6,44.6,553,319,3712
14.93,1,25.7,45.4,548,330,3711
14.95,1,25.6,45.2,546,313,3711
14.97,1,26.1,46.5,535,333,3711
14.98,1,25.7,42.1,558,333,3711
15.00,1,25.9,44.6,540,329,3711
15.02,1,26.0,43.7,535,317,3710
15.03,1,25.8,41.6,546,336,3710
15.05,1,25.6,44.7,545,301,3710
15.07,1,25.6,43.8,534,332,3710
15.08,1,25.9,45.2,526,314,3710
15.10,1,25.9,42.0,545,317,3709
15.12,1,25.8,43.7,543,330,3709
15.13,1,26.0,41.6,530,297,3709
15.15,1,25.6,44.5,530,322,3709
15.17,1,25.8,47.0,537,333,3708
15.18,1,26.0,46.6,529,337,3708
15.20,1,25.8,40.8,531,293,3708
15.22,1,25.8,45.1,548,320,3708
15.23,1,25.6,44.4,549,328,3708
15.25,1,25.8,44.9,531,366,3707
15.27,1,25.6,44.8,530,318,3707
15.28,1,25.8,43.0,531,312,3707
15.30,1,25.9,43.3,534,343,3707
15.32,1,25.9,43.7,519,323,3707
15.33,1,25.8,44.9,526,332,3706
15.35,1,25.9,42.4,523,346,3706
15.37,1,25.7,43.0,531,297,3706
15.38,1,25.8,45.1,519,297,3706
15.40,1,25.8,43.2,538,310,3706
15.42,1,25.6,45.0,536,335,3705
15.43,1,25.7,43.3,528,305,3705
15.45,1,25.6,46.5,514,315,3705
15.47,1,25.9,45.6,521,320,3705
15.48,1,25.8,44.0,507,334,3705
15.50,1,25.8,44.0,514,316,3704
15.52,1,25.5,44.3,526,320,3704
15.53,1,25.7,44.5,511,326,3704
15.55,1,25.8,44.2,525,297,3704
15.57,1,25.7,45.5,515,332,3703
15.58,1,25.8,46.0,522,333,3703
15.60,1,25.7,44.9,537,316,3703
15.62,1,25.7,45.1,507,324,3703
15.63,1,25.7,44.9,525,325,3703
15.65,1,25.5,43.8,515,321,3702
15.67,1,25.8,44.4,515,313,3702
15.68,1,25.7,46.7,514,305,3702
15.70,1,25.6,45.8,513,335,3702
15.72,1,25.7,45.4,511,326,3702
15.73,1,25.7,44.1,498,312,3701
15.75,1,25.8,42.9,510,304,3701
15.77,1,25.3,42.7,510,318,3701
15.78,1,26.0,44.7,501,329,3701
15.80,1,25.8,45.1,512,304,3701
15.82,1,25.7,43.7,499,314,3700
15.83,1,25.7,45.1,492,334,3700
15.85,1,25.9,45.4,510,315,3700
15.87,1,25.9,45.9,517,306,3700
15.88,1,25.7,45.5,503,328,3700
15.90,1,25.7,45.9,495,314,3699
15.92,1,25.7,46.3,515,335,3699
15.93,1,25.8,44.6,504,318,3699
15.95,1,25.5,44.8,488,319,3699
15.97,1,25.6,46.0,492,295,3698
15.98,1,25.3,47.0,481,342,3698
16.00,1,25.8,47.4,502,329,3698
16.02,1,25.6,44.6,483,354,3698
16.03,1,25.6,44.4,494,313,3698
16.05,1,25.3,44.3,494,335,3697
16.07,1,25.6,45.1,480,288,3697
16.08,1,25.8,45.7,499,299,3697
16.10,1,25.5,46.7,504,314,3697
16.12,1,25.5,43.8,488,326,3697
16.13,1,25.5,43.2,494,316,3696
16.15,1,25.4,44.1,471,324,3696
16.17,1,25.8,45.3,489,338,3696
16.18,1,25.6,45.1,485,289,3696
16.20,1,25.4,44.9,480,331,3696
16.22,1,25.5,44.8,468,292,3695
16.23,1,25.4,45.5,480,352,3695
16.25,1,25.3,44.7,473,311,3695
16.27,1,25.7,45.6,475,317,3695
16.28,1,25.5,46.9,451,336,3695
16.30,1,25.5,43.5,480,293,3694
16.32,1,25.6,47.0,480,358,3694
16.33,1,25.4,43.8,483,333,3694
16.35,1,25.4,45.8,457,334,3694
16.37,1,25.4,46.0,483,321,3693
16.38,1,25.2,44.9,470,321,3693
16.40,1,25.5,46.0,473,320,3693
16.42,1,25.2,47.2,457,320,3693
16.43,1,25.4,44.6,474,322,3693
16.45,1,25.6,46.7,466,314,3692
16.47,1,25.7,46.2,463,319,3692
16.48,1,25.4,44.0,470,316,3692
16.50,1,25.4,47.5,456,327,3692
16.52,1,25.1,45.3,454,312,3692
16.53,1,25.3,45.1,455,335,3691
16.55,1,25.5,41.9,449,323,3691
16.57,1,25.6,46.3,451,315,3691
16.58,1,25.4,45.4,443,319,3691
16.60,1,25.5,44.7,467,306,3691
16.62,1,25.5,45.8,443,350,3690
16.63,1,25.4,46.0,450,316,3690
16.65,1,25.4,44.8,462,330,3690
16.67,1,25.5,46.5,457,335,3690
16.68,1,25.6,45.3,457,323,3690
16.70,1,25.4,44.3,435,297,3689
16.72,1,25.3,46.4,445,316,3689
16.73,1,25.3,47.4,452,326,3689
16.75,1,25.0,47.0,448,333,3689
16.77,1,25.3,47.5,443,314,3688
16.78,1,25.4,45.2,436,320,3688
16.80,1,25.4,47.2,439,322,3688
16.82,1,25.5,43.3,435,338,3688
16.83,1,25.3,47.3,431,315,3688
16.85,1,25.3,45.3,448,309,3687
16.87,1,25.1,46.8,444,335,3687
16.88,1,25.3,49.2,420,338,3687
16.90,1,25.0,45.2,437,318,3687
16.92,1,25.2,46.7,425,309,3687
16.93,1,25.2,45.5,432,291,3686
16.95,1,25.0,45.5,431,326,3686
16.97,1,25.5,46.4,414,307,3686
16.98,1,25.2,47.7,424,325,3686
17.00,1,25.2,47.5,427,294,3686
17.02,1,25.2,43.6,416,312,3685
17.03,1,25.4,48.3,416,340,3685
17.05,1,25.6,45.5,414,322,3685
17.07,1,25.1,47.9,417,344,3685
17.08,1,25.3,46.3,415,322,3685
17.10,1,25.0,46.0,616,303,3684
17.12,1,25.0,46.6,412,310,3684
17.13,1,24.9,43.3,409,306,3684
17.15,1,25.2,45.3,410,301,3684
17.17,1,25.2,47.2,412,324,3683
17.18,1,25.1,46.9,402,350,3683
17.20,1,25.1,47.3,404,317,3683
17.22,1,24.9,46.8,398,330,3683
17.23,1,25.1,46.1,403,323,3683
17.25,1,24.9,45.8,400,336,3682
17.27,1,25.0,44.9,379,309,3682
17.28,1,24.8,47.5,389,354,3682
17.30,1,25.0,47.7,387,296,3682
17.32,1,25.0,46.0,403,308,3682
17.33,1,25.1,48.2,393,312,3681
17.35,1,25.1,46.6,386,309,3681
17.37,1,24.9,45.2,390,350,3681
17.38,1,25.1,46.8,381,322,3681
17.40,1,24.8,48.3,378,293,3681
17.42,1,25.0,46.5,379,318,3680
17.43,1,24.6,47.8,385,299,3680
17.45,1,24.8,46.4,384,305,3680
17.47,1,24.8,47.5,386,286,3680
17.48,1,24.9,46.1,387,347,3680
17.50,1,25.1,47.2,564,324,3679
17.52,1,25.1,46.2,377,315,3679
17.53,1,24.7,48.2,378,299,3679
17.55,1,24.6,47.5,363,321,3679
17.57,1,25.1,50.0,367,334,3678
17.58,1,24.7,49.3,364,314,3678
17.60,1,24.8,48.3,375,298,3678
17.62,1,24.6,46.6,373,324,3678
17.63,1,24.9,44.8,356,330,3678
17.65,1,24.6,48.5,360,325,3677
17.67,1,24.5,48.5,353,299,3677
17.68,1,24.7,48.3,355,313,3677
17.70,1,24.5,46.2,361,300,3677
17.72,1,24.8,48.2,348,295,3677
17.73,1,24.9,49.6,350,325,3676
17.75,1,24.8,46.7,353,308,3676
17.77,1,24.8,48.1,356,309,3676
17.78,1,24.6,46.6,342,335,3676
17.80,1,24.7,47.0,357,313,3676
17.82,1,24.7,47.2,356,345,3675
17.83,1,24.8,48.0,333,320,3675
17.85,1,24.7,47.0,332,338,3675
17.87,1,24.8,49.5,332,302,3675
17.88,1,24.7,47.3,323,334,3675
17.90,1,24.6,48.7,325,328,3674
17.92,1,24.6,48.3,332,322,3674
17.93,1,24.5,47.2,335,339,3674
17.95,1,24.8,48.9,330,331,3674
17.97,1,24.5,48.8,327,336,3673
17.98,1,24.5,47.8,328,332,3673
18.00,1,24.7,48.5,339,314,3673
18.02,1,24.5,47.5,312,323,3673
18.03,1,24.6,48.0,315,325,3673
18.05,1,24.8,47.3,316,340,3672
18.07,1,24.7,50.0,317,288,3672
18.08,1,24.3,48.5,316,333,3672
18.10,1,24.5,47.7,303,351,3672
18.12,1,24.6,47.7,319,316,3672
18.13,1,24.5,49.8,309,312,3671
18.15,1,24.6,48.8,304,323,3671
18.17,1,24.6,48.2,289,310,3671
18.18,1,24.6,47.9,310,321,3671
18.20,1,24.4,49.6,302,318,3671
18.22,1,24.5,49.3,295,315,3670
18.23,1,24.2,48.3,290,342,3670
18.25,1,24.6,48.0,306,328,3670
18.27,1,24.4,49.2,311,353,3670
18.28,1,24.3,47.2,295,317,3670
18.30,1,24.4,49.9,301,319,3669
18.32,1,24.5,49.4,291,300,3669
18.33,1,24.7,49.0,278,314,3669
18.35,1,24.4,49.5,291,329,3669
18.37,1,24.1,47.5,287,304,3668
18.38,1,24.5,46.6,269,323,3668
18.40,1,24.1,48.9,272,318,3668
18.42,1,24.5,48.3,287,325,3668
18.43,1,24.3,50.1,281,318,3668
18.45,1,24.3,49.1,285,321,3667
18.47,1,24.4,50.4,281,312,3667
18.48,1,24.3,47.5,263,306,3667
18.50,1,24.1,49.6,262,304,3667
18.52,1,24.3,48.6,274,311,3667
18.53,1,24.3,49.1,285,309,3666
18.55,1,24.3,48.9,296,346,3666
18.57,1,24.2,49.8,277,322,3666
18.58,1,24.1,48.3,265,306,3666
18.60,1,24.3,49.1,266,322,3666
18.62,1,24.1,49.7,246,309,3665
18.63,1,24.3,50.1,251,309,3665
18.65,1,24.6,46.9,254,333,3665
18.67,1,23.9,51.0,244,299,3665
18.68,1,24.1,50.5,258,327,3665
18.70,1,24.2,49.7,254,317,3664
18.72,1,24.2,48.6,261,330,3664
18.73,1,24.4,46.9,262,301,3664
18.75,1,24.5,50.2,234,339,3664
18.77,1,24.1,49.3,259,339,3663
18.78,1,24.0,50.8,245,329,3663
18.80,1,24.1,49.9,240,310,3663
18.82,1,24.1,48.1,235,320,3663
18.83,1,24.0,50.8,249,299,3663
18.85,1,24.1,49.7,227,340,3662
18.87,1,24.0,49.0,227,347,3662
18.88,1,24.0,48.6,228,308,3662
18.90,1,24.2,48.2,218,324,3662
18.92,1,24.0,49.5,228,302,3662
18.93,1,24.2,48.7,231,306,3661
18.95,1,24.0,50.7,226,299,3661
18.97,1,24.1,50.5,221,301,3661
18.98,1,23.9,50.9,227,325,3661
19.00,1,24.0,50.1,207,329,3661
19.02,1,23.9,48.4,231,324,3660
19.03,1,24.2,49.5,213,343,3660
19.05,1,24.0,49.0,202,323,3660
19.07,1,23.9,50.6,209,316,3660
19.08,1,24.0,52.0,201,314,3660
19.10,1,24.0,49.3,202,335,3659
19.12,1,24.1,49.9,199,302,3659
19.13,1,24.1,48.2,197,301,3659
19.15,1,23.8,50.0,196,340,3659
19.17,1,24.0,49.8,197,312,3658
19.18,1,23.9,49.8,195,317,3658
19.20,1,23.8,53.5,204,329,3658
19.22,1,23.9,50.8,191,308,3658
19.23,1,23.9,48.1,189,310,3658
19.25,1,23.6,51.6,177,314,3657
19.27,1,23.8,49.1,188,343,3657
19.28,1,23.6,50.3,185,335,3657
19.30,1,23.7,50.5,187,313,3657
19.32,1,23.9,51.8,200,343,3657
19.33,1,23.7,50.0,173,336,3656
19.35,1,23.8,50.3,180,319,3656
19.37,1,23.8,51.0,172,327,3656
19.38,1,23.9,52.7,180,296,3656
19.40,1,23.8,51.9,167,341,3656
19.42,1,23.9,52.0,156,311,3655
19.43,1,23.5,49.1,168,323,3655
19.45,1,23.7,50.7,151,326,3655
19.47,1,23.6,50.9,166,306,3655
19.48,1,24.0,51.2,170,340,3655
19.50,1,23.4,52.0,165,337,3654
19.52,1,23.6,50.6,155,312,3654
19.53,1,23.8,51.6,171,302,3654
19.55,1,23.5,49.8,155,304,3654
19.57,1,23.8,50.8,146,326,3653
19.58,1,23.8,50.1,149,334,3653
19.60,1,23.5,52.9,136,322,3653
19.62,1,23.5,51.0,143,327,3653
19.63,1,23.6,51.4,126,300,3653
19.65,1,23.7,50.7,137,312,3652
19.67,1,23.8,52.8,148,311,3652
19.68,1,23.7,51.8,133,329,3652
19.70,1,23.4,51.6,139,331,3652
19.72,1,23.3,51.2,135,340,3652
19.73,1,23.5,52.4,139,305,3651
19.75,1,23.4,52.6,117,333,3651
19.77,1,23.2,50.9,131,315,3651
19.78,1,23.6,52.0,126,319,3651
19.80,1,23.6,51.5,130,337,3651
19.82,1,23.7,51.9,126,311,3650
19.83,1,23.5,52.1,105,315,3650
19.85,1,23.4,50.0,127,347,3650
19.87,1,23.3,52.2,101,309,3650
19.88,1,23.5,52.0,126,300,3650
19.90,1,23.2,52.0,100,338,3649
19.92,1,23.3,51.3,105,301,3649
19.93,1,23.5,50.1,103,319,3649
19.95,1,23.3,51.0,99,337,3649
19.97,1,23.3,51.2,107,312,3648
19.98,1,23.2,50.9,103,305,3648
20.00,1,23.4,50.5,106,315,3648
20.02,1,23.3,51.0,105,317,3648
20.03,1,23.2,52.9,94,330,3648
20.05,1,23.4,51.2,95,327,3647
20.07,1,23.3,51.8,81,319,3647
20.08,1,23.0,52.2,92,304,3647
20.10,1,23.1,53.1,98,322,3647
20.12,1,23.3,51.4,81,320,3647
20.13,1,23.2,51.3,78,319,3646
20.15,1,23.3,50.9,58,339,3646
20.17,1,23.2,52.8,85,337,3646
20.18,1,23.3,52.9,73,327,3646
20.20,1,23.2,53.7,66,280,3646
20.22,1,23.3,52.0,73,341,3645
20.23,1,23.2,53.1,73,321,3645
20.25,1,23.2,54.1,73,327,3645
20.27,1,23.3,50.8,59,315,3645
20.28,1,23.5,52.3,66,309,3645
20.30,1,22.9,50.2,73,334,3644
20.32,1,23.2,52.9,66,300,3644
20.33,1,23.0,53.0,78,342,3644
20.35,1,23.2,52.9,60,305,3644
20.37,1,22.9,51.9,59,305,3643
20.38,1,23.1,52.4,54,345,3643
20.40,1,22.8,53.0,51,295,3643
20.42,1,23.1,52.9,36,317,3643
20.43,1,23.0,51.5,48,324,3643
20.45,1,23.0,52.8,44,306,3642
20.47,1,23.0,53.2,41,317,3642
20.48,1,23.1,53.8,44,299,3642
20.50,1,23.2,53.8,42,318,3642
20.52,1,23.0,53.5,30,326,3642
20.53,1,22.7,53.3,17,328,3641
20.55,1,22.9,51.9,31,307,3641
20.57,1,23.1,54.0,23,318,3641
20.58,1,23.0,55.2,42,334,3641
20.60,1,23.0,53.6,34,311,3641
20.62,1,23.0,52.7,32,339,3640
20.63,1,22.8,54.7,20,326,3640
20.65,1,23.0,52.8,24,316,3640
20.67,1,22.8,54.1,11,325,3640
20.68,1,22.8,57.0,16,308,3640
20.70,1,22.8,54.7,9,313,3639
20.72,1,22.9,52.6,18,305,3639
20.73,1,22.6,54.5,9,322,3639
20.75,1,22.8,53.5,16,318,3639
20.77,1,22.7,53.1,14,323,3638
20.78,1,22.8,53.3,4,302,3638
20.80,1,22.6,54.1,8,352,3638
20.82,1,22.9,52.8,7,320,3638
20.83,1,22.8,54.6,13,322,3638
20.85,1,23.0,55.1,0,329,3637
20.87,1,22.9,52.7,0,299,3637
20.88,1,22.9,52.5,6,327,3637
20.90,1,22.7,53.5,0,308,3637
20.92,1,22.9,52.5,5,314,3637
20.93,1,22.9,53.5,0,306,3636
20.95,1,22.7,53.4,0,332,3636
20.97,1,22.6,55.0,1,336,3636
20.98,1,22.7,53.5,0,333,3636
21.00,1,22.8,53.6,8,317,3636
21.02,1,22.8,54.3,0,327,3635
21.03,1,22.7,54.2,0,301,3635
21.05,1,22.6,55.0,0,325,3635
21.07,1,22.8,53.5,0,331,3635
21.08,1,22.9,54.6,0,329,3635
21.10,1,22.7,53.8,2,320,3634
21.12,1,22.3,53.9,7,289,3634
21.13,1,22.4,56.8,1,331,3634
21.15,1,22.7,54.6,0,301,3634
21.17,1,22.6,53.4,0,340,3633
21.18,1,22.8,54.8,0,316,3633
21.20,1,22.6,52.6,15,304,3633
21.22,1,22.5,54.7,2,311,3633
21.23,1,22.5,56.3,0,315,3632
21.25,1,22.4,56.3,5,339,3632
21.27,1,22.6,55.0,13,306,3632
21.28,1,22.5,54.4,0,321,3632
21.30,1,22.7,54.2,0,313,3632
21.32,1,22.6,54.9,9,322,3631
21.33,1,22.5,54.2,10,327,3631
21.35,1,22.7,55.8,0,319,3631
21.37,1,22.4,54.7,0,303,3631
21.38,1,22.6,53.2,6,315,3631
21.40,1,22.4,53.0,210,309,3630
21.42,1,22.5,56.8,0,295,3630
21.43,1,22.5,57.7,0,309,3630
21.45,1,22.2,56.0,1,307,3630
21.47,1,22.7,54.7,4,311,3630
21.48,1,22.2,55.1,0,309,3629
21.50,1,22.2,54.2,4,307,3629
21.52,1,22.5,54.4,0,325,3629
21.53,1,22.4,55.3,8,332,3629
21.55,1,22.2,56.6,6,348,3628
21.57,1,22.2,55.0,5,318,3628
21.58,1,22.4,57.0,21,283,3628
21.60,1,22.2,55.6,0,303,3628
21.62,1,22.3,52.5,7,319,3628
21.63,1,22.2,55.5,8,326,3627
21.65,1,22.2,57.1,4,288,3627
21.67,1,22.0,57.0,1,315,3627
21.68,1,22.5,54.0,0,294,3627
21.70,1,22.6,57.5,0,322,3627
21.72,1,22.1,53.5,14,343,3626
21.73,1,22.5,55.0,3,335,3626
21.75,1,22.4,55.0,0,340,3626
21.77,1,22.1,56.8,5,283,3626
21.78,1,22.4,56.4,0,335,3626
21.80,1,22.3,55.5,3,315,3625
21.82,1,22.3,55.4,7,307,3625
21.83,1,22.1,56.4,8,287,3625
21.85,1,22.4,57.6,0,318,3625
21.87,1,22.4,55.1,9,298,3625
21.88,1,22.1,56.1,7,333,3624
21.90,1,21.7,55.6,3,304,3624
21.92,1,22.5,55.9,0,349,3624
21.93,1,22.3,57.5,8,334,3624
21.95,1,22.2,57.3,195,312,3623
21.97,1,22.0,56.6,0,314,3623
21.98,1,22.2,55.9,0,336,3623
22.00,1,22.1,55.2,7,327,3623
22.02,1,22.4,57.6,4,339,3623
22.03,1,22.2,57.2,0,336,3622
22.05,1,21.9,57.4,2,324,3622
22.07,1,22.2,57.4,0,320,3622
22.08,1,22.2,54.7,7,312,3622
